"Size 
(Inch)","OD
(mm)",Schedule,"W.T.
(mm)","Weight 
(kg/m)"
"1/2""",21.3,Sch 5S,1.65,0.81
"1/2""",21.3,Sch 10S,2.11,1.01
"1/2""",21.3,Sch 40S,2.77,1.28
"1/2""",21.3,Sch 80S,3.73,1.64
"3/4""",26.7,Sch 5S,1.65,1.03
"3/4""",26.7,Sch 10S,2.11,1.30
"3/4""",26.7,Sch 40S,2.87,1.71
"3/4""",26.7,Sch 80S,3.91,2.23
"1""",33.4,Sch 5S,1.65,1.31
"1""",33.4,Sch 10S,2.77,2.12
"1""",33.4,Sch 40S,3.38,2.54
"1""",33.4,Sch 80S,4.55,3.28
"1.25""",42.2,Sch 5S,1.65,1.67
"1.25""",42.2,Sch 10S,2.77,2.73
"1.25""",42.2,Sch 40S,3.56,3.44
"1.25""",42.2,Sch 80S,4.85,4.53
"1.5""",48.3,Sch 5S,1.65,1.92
"1.5""",48.3,Sch 10S,2.77,3.15
"1.5""",48.3,Sch 40S,3.68,4.11
"1.5""",48.3,Sch 80S,5.08,5.49
"2""",60.3,Sch 5S,1.65,2.42
"2""",60.3,Sch 10S,2.77,3.99
"2""",60.3,Sch 40S,3.91,5.51
"2""",60.3,Sch 80S,5.54,7.59
"2.5""",73,Sch 5S,2.11,3.74
"2.5""",73,Sch 10S,3.05,5.34
"2.5""",73,Sch 40S,5.16,8.75
"2.5""",73,Sch 80S,7.01,11.57
"3""",88.9,Sch 5S,2.11,4.58
"3""",88.9,Sch 10S,3.05,6.55
"3""",88.9,Sch 40S,5.49,11.45
"3""",88.9,Sch 80S,7.62,15.49
"4""",114.3,Sch 5S,2.11,5.92
"4""",114.3,Sch 10S,3.05,8.49
"4""",114.3,Sch 40S,6.02,16.30
"4""",114.3,Sch 80S,8.56,22.63
"5""",141.3,Sch 5S,2.77,9.60
"5""",141.3,Sch 10S,3.4,11.72
"5""",141.3,Sch 40S,6.55,22.07
"5""",141.3,Sch 80S,9.53,31.40
"6""",168.3,Sch 5S,2.77,11.47
"6""",168.3,Sch 10S,3.4,14.02
"6""",168.3,Sch 40S,7.11,28.66
"6""",168.3,Sch 80S,10.97,43.16
"8""",219.1,Sch 5S,2.77,14.98
"8""",219.1,Sch 10S,3.76,20.25
"8""",219.1,Sch 40S,8.18,43.14
"8""",219.1,Sch 80S,12.7,65.55
"10""",273,Sch 5S,3.4,22.92
"10""",273,Sch 10S,4.19,28.17
"10""",273,Sch 40S,9.27,61.14
"10""",273,Sch 80S,12.7,82.67
"12""",323.8,Sch 5S,3.96,31.67
"12""",323.8,Sch 10S,4.57,36.48
"12""",323.8,Sch 40S,9.53,74.90
"12""",323.8,Sch 80S,12.7,98.80
"14""",355.6,Sch 5S,3.96,34.82
"14""",355.6,Sch 10S,4.78,41.93
"14""",355.6,Sch 40S,9.53,82.47
"14""",355.6,Sch 80S,12.7,108.90
"16""",406.4,Sch 5S,4.19,42.14
"16""",406.4,Sch 10S,4.78,48.01
"16""",406.4,Sch 40S,9.53,94.58
"16""",406.4,Sch 80S,12.7,125.03
"18""",457,Sch 5S,4.19,47.44
"18""",457,Sch 10S,4.78,54.05
"18""",457,Sch 40S,9.53,106.64
"18""",457,Sch 80S,12.7,141.10
"20""",508,Sch 5S,4.78,60.15
"20""",508,Sch 10S,5.54,69.61
"20""",508,Sch 40S,9.53,118.79
"20""",508,Sch 80S,12.7,157.30
"22""",559,Sch 5S,4.78,66.25
"22""",559,Sch 10S,5.54,76.67
"22""",559,Sch 40S,9.53,130.95
"22""",559,Sch 80S,12.7,173.50
"24""",610,Sch 5S,5.54,83.74
"24""",610,Sch 10S,6.35,95.86
"24""",610,Sch 40S,9.53,143.10
"24""",610,Sch 80S,12.7,189.69
