Product ,Material,Additional Spec,Ends,Length 
C.S. SEAMLESS PIPE,ASTM A106 GR.B,NACE MR0175,BE,5.00 - 7.00
,ASTM A53 GR.B,NACE MR0103,PE,9.00 - 11.80
,API 5L GR.B PSL-1,NACE MR0175/MR0103,NPTM,9.00 - 12.00
,API 5L GR.B PSL-2,H2 SERVICE,BSPT,10.00 - 12.00
,API 5L GR.BN PSL-1,HIC,,6.00 Mtr.
,API 5L GR.BN PSL-2,GALVANISED,,
,API 5L GR.B PSL-1,IBR,,
,API 5L GR.B PSL-2,O2 SERVICE,,
,API 5L GR.X42 PSL-1,AXN1,,
,API 5L GR.X42 PSL-2,AXN2,,
,API 5L GR.X52 PSL-1,AXN4,,
,API 5L GR.X52 PSL-2,3LPE COATED,,
,API 5L GR.X60 PSL-1,INTERNAL EXPOXY COATED,,
,API 5L GR.X60 PSL-2,,,
,API 5L GR.X65 PSL-1,,,
,API 5L GR.X65 PSL-2,,,
,ASME SA106 GR. B,,,
,ASME SA53 GR. B,,,
,,,,
S.S. SEAMLESS PIPE,ASTM A312 TP304,NACE MR0175,,
,ASTM A312 TP304L,NACE MR0103,,
,ASTM A312 TP304H,NACE MR0175/MR0103,,
,ASTM A312 TP310S,H2 SERVICE,,
,ASTM A312 TP310H,O2 SERVICE,,
,ASTM A312 TP316,IBR,,
,ASTM A312 TP316L,,,
,ASTM A312 TP316H,,,
,ASTM A312 TP316Ti,,,
,ASTM A312 TP317,,,
,ASTM A312 TP317L,,,
,ASTM A312 TP321,,,
,ASTM A312 TP321H,,,
,ASTM A312 TP347,,,
,ASTM A312 TP347H,,,
,ASME SA312 TP304,,,
,ASME SA312 TP304L,,,
,ASME SA312 TP304H,,,
,ASME SA312 TP310S,,,
,ASME SA312 TP310H,,,
,ASME SA312 TP316,,,
,ASME SA312 TP316L,,,
,ASME SA312 TP316H,,,
,ASME SA312 TP316Ti,,,
,ASME SA312 TP317,,,
,ASME SA312 TP317L,,,
,ASME SA312 TP321,,,
,ASME SA312 TP321H,,,
,ASME SA312 TP347,,,
,ASME SA312 TP347H,,,
,,,,
A.S. SEAMLESS PIPE,ASTM A335 GR. P1,NACE MR0175,,
,ASTM A335 GR. P5,NACE MR0103,,
